核卡狀況,聯徵紀錄,年齡,年收入,收支比,每月信用卡支出平均,扶養人數,居住時間,持有主卡,活躍帳戶,核卡狀況_no,核卡狀況_yes,房地產_no,房地產_yes,創業人士_no,創業人士_yes
yes,-0.3397165448614569,35,-0.21636726732067604,-0.15422047168738315,-0.18306817359334013,1,0,1,8,0,1,1,0,1,0
yes,-0.3397165448614569,26,0.07820485784584882,0.18266071876860482,0.2403625475619911,0,4,1,2,0,1,1,0,1,0
yes,-0.3397165448614569,42,0.7026977631988812,-0.20020783477173598,0.013385452451890106,0,12,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,27,-0.3577618874006081,-0.614785968636076,-0.5930020079686832,0,2,1,1,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.49031934372554414,0.34494541475348633,0.10668513909810061,2,1,1,9,0,1,0,1,1,0
no,4.851559242172853,40,-0.07567962034114388,-0.7201991483969712,-0.6782559249526872,0,4,1,16,1,0,1,0,1,0
no,1.1435051085769175,35,0.2785139029590857,-0.7208111260163967,-0.6782559249526872,0,3,0,2,1,0,1,0,1,0
yes,-0.3397165448614569,32,-1.2061296078801995,-0.31524117746092384,-0.5219356994998189,1,0,1,2,0,1,1,0,1,0
no,-0.3397165448614569,25,0.31386255797906876,-0.7208618470391749,-0.6782559249526872,0,1,1,3,1,0,1,0,1,0
no,-0.3397165448614569,56,-0.7819457476404039,-0.7179021307729186,-0.6782559249526872,0,2,1,11,1,0,0,1,1,0
yes,0.4018942818577303,30,2.3112972243082406,0.10074041703119903,1.0616573485488139,4,3,1,14,0,1,0,1,1,0
yes,-0.3397165448614569,25,2.434781859178048,-0.2103138484871813,0.43786158830537786,0,25,1,8,0,1,0,1,1,0
yes,-0.3397165448614569,34,-0.06295410453394994,-0.41702873407178254,-0.38948961427563716,1,2,1,6,0,1,1,0,1,0
yes,-0.3397165448614569,24,-1.0223166017762881,1.1266137991761378,0.19565172666044023,1,0,1,5,0,1,1,0,1,0
yes,-0.3397165448614569,40,2.7293539843445727,-0.2317269883924993,0.46265232731378436,2,3,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,31,-0.6876826675871158,-0.2793026473312662,-0.3957384880462807,2,1,1,16,0,1,0,1,1,0
yes,-0.3397165448614569,27,0.9619212333454235,-0.4184040263174257,-0.23675687364945583,1,2,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,30,-0.21636726732067604,-0.06337480179459605,-0.1041303801364306,2,6,1,8,0,1,0,1,1,0
yes,-0.3397165448614569,46,-0.8055115176537259,-0.6518407895950631,-0.6394485986200283,0,6,1,1,0,1,0,1,1,0
yes,-0.3397165448614569,20,-1.076517872806929,0.2211338757931344,-0.25724531498916003,0,0,1,2,0,1,1,0,1,0
no,-0.3397165448614569,28,-1.1000836428202507,-0.7156680225356471,-0.6782559249526872,1,0,0,0,1,0,1,0,1,0
yes,-0.3397165448614569,51,-0.21636726732067604,0.0366106113566091,-0.019084372704813314,0,10,1,0,0,1,0,1,1,0
yes,0.4018942818577303,41,0.9619212333454235,0.8595268966939889,1.6148635988965223,3,7,1,7,0,1,0,1,1,0
yes,-0.3397165448614569,51,0.7988461048532353,-0.49564394563801045,-0.3669324545555087,1,5,0,0,0,1,0,1,1,0
yes,-0.3397165448614569,53,-1.1000836428202507,-0.7156680225356471,-0.6782559249526872,0,4,0,6,0,1,0,1,1,0
yes,-0.3397165448614569,26,-0.6287682425538109,-0.3484378795626594,-0.43013343831936146,0,2,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,20,-1.0411692177869458,0.1603146462667685,-0.2686979411791015,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,27,-0.6876826675871158,0.7565403375998734,0.26522698995669347,0,0,0,1,0,1,1,0,1,0
yes,-0.3397165448614569,23,0.5613031431189498,1.2562674816923867,1.7996841904629677,2,3,1,11,0,1,1,0,1,0
no,-0.3397165448614569,23,-0.452024967453896,-0.7192387764202619,-0.6782559249526872,0,3,1,7,1,0,1,0,0,1
yes,-0.3397165448614569,20,-0.9968655701619005,1.1299243753243615,0.22133167319007796,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,83,-0.29148315923813983,-0.6624058951896229,-0.6293648019875118,0,3,0,11,0,1,0,1,0,1
yes,-0.3397165448614569,24,-0.452024967453896,0.004463840861856505,-0.1298990640764344,0,1,1,2,0,1,1,0,0,1
yes,-0.3397165448614569,33,-0.27528169235398103,0.38195993488109603,0.2507946935327219,2,1,1,20,0,1,0,1,1,0
yes,-0.3397165448614569,25,-0.42256775493724347,-0.6222909540344795,-0.6031621847771471,0,1,1,9,0,1,1,0,1,0
yes,-0.3397165448614569,26,-0.8644259426870308,-0.4427018406529812,-0.524921089996666,0,1,1,9,0,1,1,0,1,0
yes,-0.3397165448614569,65,-0.24582447983732855,-0.2117877828200952,-0.24295382503452967,1,19,1,19,0,1,0,1,1,0
yes,-0.3397165448614569,21,-0.14566995728070992,0.1914084256673394,0.14846579203999907,1,0,0,6,0,1,1,0,1,0
yes,-0.3397165448614569,35,0.4390557111748418,-0.41154455051814554,-0.30716927540796496,1,3,1,23,0,1,0,1,1,0
no,0.4018942818577303,46,1.5510654836784732,-0.7219979960504157,-0.6782559249526872,2,7,1,46,1,0,0,1,1,0
yes,-0.3397165448614569,25,-0.8055115176537259,-0.6539296808549369,-0.640047502803297,0,2,1,19,0,1,1,0,1,0
no,1.1435051085769175,35,0.007507547805882689,-0.7203624406137414,-0.6782559249526872,2,1,1,15,1,0,0,1,1,0
yes,-0.3397165448614569,33,0.07820485784584882,-0.6951709669473423,-0.6519769385668808,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,30,-0.452024967453896,-0.6612140244765271,-0.6339483459113829,4,4,1,16,0,1,0,1,1,0
no,7.818002549049601,26,0.07820485784584882,-0.7204908588964257,-0.6782559249526872,0,1,0,27,1,0,1,0,1,0
yes,0.4018942818577303,24,-0.334196117387286,-0.059705632646759224,-0.13973534933706186,0,1,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,37,1.4921510586451683,-0.02737814140815994,0.5120658642812269,3,2,1,11,0,1,0,1,1,0
yes,-0.3397165448614569,46,1.1975789334786433,-0.09351560368251738,0.3071114143330284,4,17,1,7,0,1,0,1,1,0
yes,-0.3397165448614569,29,-0.334196117387286,0.40247326905128966,0.23539398594851466,0,4,1,3,0,1,1,0,1,0
yes,-0.3397165448614569,43,0.31386255797906876,-0.5596369183851228,-0.49460861062569894,3,14,1,6,0,1,0,1,1,0
yes,-0.3397165448614569,46,0.01929043281254385,-0.3968608054563781,-0.35690670392324403,0,3,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,21,-0.7583799776270818,0.5147005344813805,0.06745623672949978,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,57,-0.510939392487201,-0.18880322698973587,-0.2927798809551207,0,2,1,13,0,1,0,1,1,0
yes,0.4018942818577303,23,-0.8349687301703783,-0.39725410781076237,-0.49426026128748474,0,0,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,25,-0.7465970926204208,1.2478897617455904,0.5212025173973149,0,1,1,6,0,1,1,0,1,0
no,-0.3397165448614569,30,-0.21636726732067604,-0.7198880048788262,-0.6782559249526872,1,2,1,6,1,0,0,1,1,0
yes,0.4018942818577303,34,-0.0985384172540661,-0.03122644880646355,-0.03605851924720707,2,2,1,8,0,1,0,1,1,0
no,2.626726762015292,37,-0.452024967453896,-0.7192387764202619,-0.6782559249526872,0,3,1,14,1,0,1,0,1,0
yes,-0.3397165448614569,40,-0.17689460254836162,0.960716798305495,0.8181153256978423,2,1,0,0,0,1,1,0,1,0
yes,-0.3397165448614569,24,-0.334196117387286,-0.5696830083512949,-0.5551572258600372,0,5,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,31,0.8440923832788135,0.3429493631051626,0.8049422204606367,0,2,1,13,0,1,0,1,1,0
no,-0.3397165448614569,41,0.8087437282588309,-0.7214371118672104,-0.6782559249526872,0,1,1,0,1,0,0,1,1,0
yes,-0.3397165448614569,29,-0.334196117387286,-0.359226475422114,-0.383255957870821,0,6,1,14,0,1,0,1,1,0
yes,-0.3397165448614569,35,0.49060583307898364,-0.69647714643216,-0.6476989666824909,4,4,1,13,0,1,0,1,1,0
yes,-0.3397165448614569,42,0.3727769830123737,0.03689461616830505,0.20280205518167932,2,15,1,9,0,1,1,0,1,0
no,2.626726762015292,25,-1.0117120052702933,-0.7164352923403148,-0.6782559249526872,0,3,1,5,1,0,1,0,1,0
yes,-0.3397165448614569,34,0.5495202581122887,-0.46100685806298924,-0.35210314989102703,1,1,1,2,0,1,1,0,1,0
yes,-0.3397165448614569,63,1.8180656579294112,-0.7221461775654098,-0.6782559249526872,0,3,1,13,0,1,0,1,1,0
yes,0.4018942818577303,21,-0.21636726732067604,-0.6745056079132357,-0.6379054477200907,1,1,0,7,0,1,1,0,1,0
yes,-0.3397165448614569,21,-0.9527975802369882,1.3145538778163763,0.35508278504026414,0,0,0,3,0,1,1,0,1,0
no,-0.3397165448614569,22,-0.9233403677203358,-0.7170746829650416,-0.6782559249526872,0,0,0,6,1,0,1,0,1,0
yes,-0.3397165448614569,22,-0.7171398801037684,-0.619069683262593,-0.6152902419997103,0,1,1,1,0,1,1,0,1,0
no,-0.3397165448614569,23,2.6586566743046065,-0.7225013945791469,-0.6782559249526872,4,0,1,9,1,0,1,0,0,1
no,1.1435051085769175,26,-0.452024967453896,-0.7192387764202619,-0.6782559249526872,0,1,1,9,1,0,1,0,1,0
yes,-0.3397165448614569,35,-0.558070932513845,-0.09656000444444539,-0.239610771438215,0,4,1,10,0,1,0,1,1,0
yes,-0.3397165448614569,41,-0.334196117387286,-0.33204145466691276,-0.3609035542248597,0,4,0,6,0,1,0,1,1,0
yes,-0.3397165448614569,40,0.16068505289247573,-0.39560441121325507,-0.3331395252755649,1,3,1,1,0,1,1,0,1,0
yes,0.4018942818577303,53,3.907583570585639,0.32951821430240935,2.3734430517653142,3,10,1,3,0,1,0,1,1,0
no,-0.3397165448614569,20,-0.8349687301703783,-0.7176157068563445,-0.6782559249526872,0,1,0,1,1,0,1,0,1,0
yes,1.1435051085769175,34,1.8456376088449982,0.7607645399253956,2.1172599814558204,0,1,1,13,0,1,0,1,1,0
yes,-0.3397165448614569,32,0.2578938541974293,-0.635105732216188,-0.5829182113361666,0,4,1,7,0,1,0,1,1,0
yes,-0.3397165448614569,40,-0.7171398801037684,0.6160898302586016,0.15632198632551422,1,5,0,16,0,1,1,0,1,0
yes,1.1435051085769175,38,0.3727769830123737,0.47816287235855004,0.7146493386284855,0,10,1,8,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.15745284228737108,1.8081061327452308,1.5953835372200698,0,0,1,0,0,1,1,0,1,0
no,-0.3397165448614569,31,0.3789040832158374,-0.7209512083302785,-0.6782559249526872,0,3,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,29,0.7144806482055425,-0.588345247266653,-0.4999927346654891,0,4,1,7,0,1,1,0,1,0
yes,-0.3397165448614569,33,-0.9233403677203358,0.6540738913295568,0.03842993645192219,3,1,1,2,0,1,0,1,1,0
no,2.626726762015292,38,-0.9766579223754769,-0.716702343372947,-0.6782559249526872,2,3,1,2,1,0,1,0,1,0
yes,-0.3397165448614569,21,-0.6527464135423661,-0.03847521797690089,-0.23019910568669485,0,0,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,26,0.07820485784584882,0.6681211575544144,0.7331059866176162,2,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,40,3.907583570585639,-0.5595269878450829,-0.20401203585732008,4,6,1,21,0,1,0,1,1,0
yes,-0.3397165448614569,23,-1.0601396626476698,-0.7160330119734964,-0.6782559249526872,1,0,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,37,-0.23857800555823216,-0.7006026961204536,-0.6614495984541046,1,7,1,13,0,1,0,1,0,1
yes,0.4018942818577303,27,-0.393110542420591,0.2635905906500664,0.09415373001023683,0,0,1,13,0,1,1,0,1,0
yes,-0.3397165448614569,21,-0.7112484376004378,0.4430199144001402,0.049787958295275075,0,1,1,7,0,1,0,1,1,0
yes,-0.3397165448614569,26,0.3727769830123737,-0.7114480401924679,-0.6666442791232685,2,1,0,0,0,1,1,0,1,0
no,3.368337588734479,31,0.6673491081788986,-0.7212946653082207,-0.6782559249526872,0,3,1,11,1,0,0,1,1,0
no,-0.3397165448614569,33,-0.9233403677203358,-0.7170746829650416,-0.6782559249526872,2,0,1,13,1,0,0,1,1,0
yes,-0.3397165448614569,27,-0.3636533299039385,-0.015258352118549642,-0.11456545957527267,0,0,1,3,0,1,1,0,1,0
yes,-0.3397165448614569,39,-0.558070932513845,-0.544553857494132,-0.5530121273036654,1,4,1,25,0,1,0,1,1,0
no,-0.3397165448614569,23,-0.6582254550704634,-0.7184813444494318,-0.6782559249526872,3,1,1,0,1,0,1,0,1,0
no,-0.3397165448614569,23,-1.2768269179201657,-0.7135580313640575,-0.6782559249526872,0,1,0,0,1,0,1,0,1,0
no,1.1435051085769175,28,-0.452024967453896,-0.7192387764202619,-0.6782559249526872,2,2,1,3,1,0,0,1,1,0
no,-0.3397165448614569,26,-1.1000836428202507,-0.7156680225356471,-0.6782559249526872,0,0,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,25,-0.7465970926204208,1.3508024711486981,0.5837983266898109,1,1,1,19,0,1,0,1,1,0
no,-0.3397165448614569,36,-0.6758997825804547,-0.7184053077525777,-0.6782559249526872,2,0,1,0,1,0,0,1,1,0
no,1.1435051085769175,34,0.9030068083121185,-0.7215243241323057,-0.6782559249526872,2,34,1,3,1,0,1,0,1,0
yes,-0.3397165448614569,41,-0.6287682425538109,-0.24144286474031768,-0.3588562501616477,0,3,1,12,0,1,0,1,1,0
no,1.1435051085769175,28,-0.03962399222076113,-0.7202716392536622,-0.6782559249526872,1,3,1,17,1,0,1,0,1,0
no,1.8851159352961047,44,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,2,5,1,18,1,0,0,1,1,0
yes,-0.3397165448614569,34,-0.6847369463354506,-0.2598046409128415,-0.3817250908685994,2,0,1,10,0,1,0,1,1,0
yes,0.4018942818577303,35,-0.5698538175205059,0.03248209713071845,-0.15262720831909896,0,2,1,18,0,1,0,1,1,0
yes,-0.3397165448614569,22,-0.393110542420591,-0.2300574578779791,-0.29219942095260165,0,1,1,7,0,1,1,0,1,0
yes,-0.3397165448614569,34,0.19603370791245878,1.2733520802087472,1.4623628589295916,2,0,1,2,0,1,0,1,0,1
no,3.368337588734479,27,-0.7348142076137597,-0.7181363144730721,-0.6782559249526872,0,3,1,10,1,0,1,0,1,0
yes,-0.3397165448614569,34,1.6688943337450832,1.2174868989541567,2.8084059694331054,0,5,1,11,0,1,0,1,1,0
yes,-0.3397165448614569,40,-0.510939392487201,-0.18709835412309153,-0.28971183999423833,1,2,1,2,0,1,1,0,1,0
no,0.4018942818577303,24,-0.8055115176537259,-0.7177780137072366,-0.6782559249526872,0,4,0,3,1,0,1,0,1,0
no,-0.3397165448614569,30,-0.5698538175205059,-0.7188330092930314,-0.6782559249526872,2,6,1,11,1,0,1,0,0,1
yes,-0.3397165448614569,45,0.3904513105223655,-0.2924603412781815,-0.17563659881693233,0,6,1,2,0,1,1,0,1,0
no,-0.3397165448614569,31,-0.21636726732067604,-0.7198880048788262,-0.6782559249526872,0,1,0,0,1,0,1,0,1,0
yes,-0.3397165448614569,24,-0.27528169235398103,-0.7187420612885668,-0.6771100389717194,0,5,1,8,0,1,0,1,1,0
yes,-0.3397165448614569,27,-0.8114029601570564,-0.08701788586960732,-0.31104695356755996,1,1,1,5,0,1,0,1,1,0
yes,-0.3397165448614569,56,-0.8526430576803699,1.3903394857219442,0.49760936674533723,1,5,1,9,0,1,0,1,0,1
yes,0.4018942818577303,34,0.9619212333454235,1.0067473107093057,1.8277629805406026,1,9,1,6,0,1,0,1,0,1
no,1.1435051085769175,32,-0.7112484376004378,-0.7182469001653697,-0.6782559249526872,1,3,0,8,1,0,0,1,1,0
yes,-0.3397165448614569,26,-0.6876826675871158,0.11669954625663372,-0.14401344589384635,0,2,1,3,0,1,1,0,1,0
yes,-0.3397165448614569,20,-0.6655897581996265,-0.18987710699651633,-0.33386981216186745,0,2,1,1,0,1,1,0,1,0
no,1.1435051085769175,40,-0.5698538175205059,-0.7188330092930314,-0.6782559249526872,0,6,1,6,1,0,1,0,1,0
yes,-0.3397165448614569,40,-0.8644259426870308,0.3941430239058541,-0.06286308411400575,3,9,1,17,0,1,0,1,1,0
yes,-0.3397165448614569,25,1.2564933585119484,0.8953830316683961,1.9010204796835368,1,2,1,13,0,1,0,1,1,0
no,-0.3397165448614569,32,-0.7112484376004378,-0.7182469001653697,-0.6782559249526872,0,3,0,0,1,0,1,0,1,0
yes,1.1435051085769175,26,2.140209734011523,1.6130131840333044,4.059306075265984,0,1,1,31,0,1,1,0,0,1
no,1.8851159352961047,36,-0.452024967453896,-0.7192387764202619,-0.6782559249526872,1,4,1,14,1,0,0,1,1,0
no,-0.3397165448614569,22,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,0,2,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,28,0.31386255797906876,0.08414586396444006,0.2344406088123495,0,4,1,10,0,1,1,0,1,0
yes,-0.3397165448614569,49,1.0797500834120335,-0.5485404748137334,-0.41596720745308263,1,1,1,6,0,1,0,1,1,0
yes,0.4018942818577303,24,-0.06908120473741361,0.6319284789881388,0.5976131280763589,0,1,0,5,0,1,1,0,1,0
yes,-0.3397165448614569,32,0.13711928287915381,-0.7047664049990863,-0.6614495984541046,0,2,1,2,0,1,1,0,1,0
yes,-0.3397165448614569,32,3.9076424850106726,0.3288600025564319,2.3715670989081525,3,0,1,28,0,1,0,1,1,0
yes,-0.3397165448614569,36,0.19603370791245878,-0.3747733123726201,-0.3051066806422229,2,0,0,18,0,1,0,1,1,0
yes,-0.3397165448614569,29,0.6479073479179076,0.4780531528176263,0.8771301037934964,0,5,1,5,0,1,0,1,0,1
no,-0.3397165448614569,36,1.0797500834120335,-0.7216733823486324,-0.6782559249526872,2,1,1,0,1,0,0,1,1,0
yes,-0.3397165448614569,22,0.8440923832788135,-0.11148302250507101,0.1734611404491673,2,0,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,61,-1.1000836428202507,2.1087313448997964,0.5521964414105318,1,31,1,24,0,1,0,1,1,0
yes,-0.3397165448614569,54,-1.1000836428202507,-0.5488591889802019,-0.6042561483725454,0,2,0,1,0,1,1,0,1,0
no,-0.3397165448614569,25,-0.89364749750355,-0.717266252228498,-0.6782559249526872,0,1,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,30,-0.5403966050038534,-0.10876567037473941,-0.24190254340015058,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,27,-0.8703173851903614,-0.2577943468241095,-0.42512512821297727,0,4,1,12,0,1,1,0,1,0
yes,-0.3397165448614569,39,0.07820485784584882,-0.2478256935339347,-0.19542834148020802,2,9,0,13,0,1,0,1,1,0
no,-0.3397165448614569,24,-0.3409712762661162,-0.7195679308230476,-0.6782559249526872,0,0,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,47,0.6673491081788986,0.7476108549617076,1.239957207187403,0,0,1,13,0,1,0,1,1,0
no,2.626726762015292,24,-0.334196117387286,-0.7195865778700264,-0.6782559249526872,0,1,1,7,1,0,1,0,1,0
no,1.8851159352961047,32,-0.334196117387286,-0.7195865778700264,-0.6782559249526872,3,8,0,11,1,0,0,1,1,0
yes,-0.3397165448614569,33,0.6673491081788986,0.3770753053188662,0.7570075181047918,1,3,1,2,0,1,1,0,1,0
yes,-0.3397165448614569,45,0.25494813294576374,-0.39310586516741736,-0.3148603521071666,1,7,1,3,0,1,0,1,1,0
no,-0.3397165448614569,32,0.9619212333454235,-0.7215759978160989,-0.6782559249526872,0,1,1,0,1,0,1,0,0,1
yes,-0.3397165448614569,23,-0.393110542420591,1.0547633248055843,0.712568409687048,0,0,1,0,0,1,1,0,1,0
no,1.1435051085769175,25,-0.510939392487201,-0.7190440084101914,-0.6782559249526872,1,2,1,18,1,0,1,0,0,1
yes,-0.3397165448614569,26,-0.0985384172540661,0.8538394154909694,0.7842642037442411,2,1,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,22,-0.8526430576803699,-0.4976685876667092,-0.5532473914461901,2,1,1,21,0,1,0,1,1,0
yes,-0.3397165448614569,45,-0.6240550885511464,1.5973032447652333,0.8732799268974447,1,7,1,5,0,1,1,0,1,0
no,-0.3397165448614569,29,-0.9822547927536408,-0.7166609601160987,-0.6782559249526872,1,2,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,48,-0.21636726732067604,0.29610091262368404,0.20700351488405663,2,10,0,3,0,1,0,1,1,0
yes,-0.3397165448614569,39,-0.5403966050038534,0.03016216183755579,-0.14392764195159144,3,3,1,8,0,1,0,1,1,0
yes,-0.3397165448614569,20,0.01929043281254385,-0.7172815454445086,-0.6748946592862871,0,1,0,0,0,1,1,0,1,0
yes,-0.3397165448614569,32,-0.510939392487201,1.8687124641623833,1.1992095017041882,1,0,1,9,0,1,1,0,1,0
yes,-0.3397165448614569,39,-0.21636726732067604,0.6214048980198357,0.48966773520108114,0,6,1,9,0,1,0,1,1,0
yes,-0.3397165448614569,26,-0.1279956297707186,0.038238469545490546,0.017284764938805805,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,27,0.07820485784584882,-0.020395758623135828,0.034821403991536944,0,0,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,19,-0.9233403677203358,0.5608238864967424,-0.008658093670305152,0,1,1,0,0,1,1,0,1,0
yes,-0.3397165448614569,24,-0.6582254550704634,0.9476517329710112,0.41091035003301524,1,0,1,9,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.8055115176537259,-0.48162252680500495,-0.5390109040186462,0,2,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,27,0.4316914080456787,0.49737645196704444,0.7722890535469782,2,3,1,14,0,1,0,1,1,0
yes,-0.3397165448614569,23,-0.2340415948306674,0.14775175883112437,0.07174643384224316,0,0,1,7,0,1,1,0,1,0
yes,-0.3397165448614569,41,1.2564933585119484,-0.3818156189069174,-0.13419842827702552,3,0,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,27,-0.1279956297707186,-0.03899712429319367,-0.05318263934678976,2,2,1,9,0,1,0,1,1,0
yes,-0.3397165448614569,46,0.07820485784584882,-0.27795035398939555,-0.22749481477161088,2,4,1,1,0,1,1,0,0,1
yes,-0.3397165448614569,21,-1.0798170806087937,-0.6787288712926864,-0.6614495984541046,0,1,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,32,1.0208356583787284,0.34522498858372197,0.9010224681928243,0,3,1,10,0,1,0,1,1,0
yes,-0.3397165448614569,22,-0.6582254550704634,-0.6068862671892034,-0.6046136647986073,0,1,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,25,0.025181875315874434,-0.6552950455921176,-0.613041262003848,1,0,1,6,0,1,0,1,1,0
yes,-0.3397165448614569,35,0.19603370791245878,0.5645860007556865,0.70279959419298,1,1,1,0,0,1,0,1,1,0
no,-0.3397165448614569,34,0.01929043281254385,-0.7203844731415542,-0.6782559249526872,0,1,1,0,1,0,1,0,1,0
yes,-0.3397165448614569,35,0.4552571780590006,0.7268369368818215,1.0600622752633064,0,1,1,18,0,1,0,1,1,0
no,2.626726762015292,38,0.8440923832788135,-0.7214704982575184,-0.6782559249526872,1,3,1,6,1,0,0,1,1,0
yes,-0.3397165448614569,34,2.140209734011523,-0.1940796819125299,0.39636804855487073,3,0,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,28,2.140209734011523,0.41900504988069276,1.6390830449902576,0,1,1,5,0,1,0,1,0,1
yes,0.4018942818577303,29,-0.6876826675871158,-0.3210420706894164,-0.4223352900340981,0,4,1,7,0,1,1,0,1,0
no,-0.3397165448614569,28,-0.7701628626337428,-0.7179623815708234,-0.6782559249526872,0,2,0,12,1,0,0,1,1,0
no,-0.3397165448614569,22,-1.078874449808261,-0.7158658342079837,-0.6782559249526872,0,1,0,3,1,0,1,0,1,0
no,1.8851159352961047,36,0.3727769830123737,-0.720943000464621,-0.6782559249526872,0,2,1,12,1,0,0,1,1,0
yes,-0.3397165448614569,43,4.202214610177197,-0.7125532746680583,-0.6461711174855889,4,14,1,16,0,1,0,1,1,0
yes,-0.3397165448614569,32,-0.18691005480402356,-0.19464895753062475,-0.21083528268415172,0,5,0,10,0,1,1,0,1,0
yes,0.4018942818577303,56,0.06866072099045348,-0.0605642935540376,-0.010540646830717489,0,45,1,7,0,1,0,1,1,0
yes,-0.3397165448614569,24,-0.21636726732067604,-0.6946560236019159,-0.6557201685492655,2,1,1,6,0,1,0,1,1,0
yes,-0.3397165448614569,34,1.0208356583787284,0.29928731579145995,0.8331647504757239,4,0,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,53,-0.5403966050038534,-0.5371799658472195,-0.5474415813654037,0,0,1,11,0,1,0,1,1,0
yes,-0.3397165448614569,31,-0.8055115176537259,0.5794603835198071,0.07687670288535373,1,3,0,6,0,1,0,1,1,0
yes,-0.3397165448614569,54,0.3727769830123737,-0.5830840897798532,-0.5170098931840644,1,15,1,13,0,1,0,1,1,0
yes,-0.3397165448614569,45,0.06642197283918766,-0.039797865942811796,0.011494098887143854,1,1,1,21,0,1,0,1,0,1
yes,-0.3397165448614569,20,-0.8055115176537259,-0.6739956968967534,-0.6522825106063621,0,1,0,3,0,1,0,1,0,1
yes,-0.3397165448614569,27,-0.7171398801037684,2.1284376074468567,1.0981027563633263,0,0,1,12,0,1,1,0,1,0
no,-0.3397165448614569,37,0.6526205019205723,-0.7212789490389792,-0.6782559249526872,2,5,1,15,1,0,1,0,1,0
yes,-0.3397165448614569,33,-0.9822547927536408,-0.6531502290162399,-0.6460672213787577,0,12,1,17,0,1,1,0,1,0
yes,-0.3397165448614569,28,-0.21636726732067604,0.014072424158599642,-0.03683478824615382,0,1,1,11,0,1,1,0,1,0
yes,-0.3397165448614569,27,-0.5958939933852268,-0.6067767586473979,-0.6000301208747362,2,0,1,5,0,1,0,1,1,0
yes,-0.3397165448614569,50,0.6673491081788986,0.29148699492876906,0.645453226085615,2,25,1,11,0,1,0,1,1,0
yes,-0.3397165448614569,48,0.19603370791245878,-0.33141584228453647,-0.2580303843924407,2,16,0,7,0,1,0,1,1,0
yes,-0.3397165448614569,25,1.2564933585119484,-0.46255538058381884,-0.26281890440058736,0,1,1,0,0,1,0,1,0,1
yes,-0.3397165448614569,30,0.003972682303884675,-0.5974428962011957,-0.5553894465293963,0,0,1,9,0,1,0,1,1,0
yes,-0.3397165448614569,63,1.2564933585119484,-0.5080256903315737,-0.33494848505473557,1,16,1,15,0,1,0,1,1,0
no,0.4018942818577303,32,1.5510654836784732,-0.7219979960504157,-0.6782559249526872,4,1,1,4,1,0,0,1,1,0
yes,-0.3397165448614569,28,2.081295308978218,0.0388020481874221,0.8464353935276298,0,1,1,0,0,1,0,1,1,0
yes,-0.3397165448614569,28,-0.3636533299039385,3.3089133132204775,2.533482438094715,1,0,1,3,0,1,0,1,1,0
yes,-0.3397165448614569,25,-0.8055115176537259,-0.6724132035180612,-0.6510602297821065,0,2,1,13,0,1,1,0,1,0
yes,-0.3397165448614569,21,-0.4004748455497541,0.057927324665385554,-0.06981797032233086,3,7,1,12,0,1,1,0,1,0
yes,-0.3397165448614569,27,-0.40512908512738505,-0.6473337851528127,-0.6211144229245436,4,3,1,4,0,1,1,0,1,0
yes,-0.3397165448614569,22,-0.9233403677203358,0.5377785629206412,-0.0222011825730458,0,0,0,2,0,1,1,0,1,0
